applicant_id,first_name,last_name,email,phone,age,city,employment_status,annual_income,acquisition_channel,registration_date
1,Katherine,Anderson,katherine.anderson760@gmail.com,0739958838,22,Houston,student,1424,organic_search,2023-02-22 21:47:00
2,Scott,Jones,scott.jones96@gmail.com,0777827638,22,Cape Town,self_employed,86426,referral,2023-10-15 06:45:00
3,Ronald,Rogers,ronald.rogers285@yahoo.com,0710872248,58,Malindi,employed,35379,social_media,2023-03-23 22:27:00
4,Amanda,Wilson,amanda.wilson390@gmail.com,0756164955,26,Kisumu,employed,64615,referral,2023-01-23 23:29:00
5,Patrick,Nguyen,patrick.nguyen634@yahoo.com,0758537831,61,Abuja,self_employed,116327,referral,2023-12-27 02:02:00
6,David,Robinson,david.robinson390@gmail.com,0795320121,27,Kisumu,employed,49993,email_campaign,2023-03-25 11:22:00
7,Helen,Barnes,helen.barnes547@yahoo.com,0731931511,31,Accra,self_employed,104733,paid_search,2023-05-19 20:44:00
8,Linda,Robinson,linda.robinson825@gmail.com,0745935572,23,Johannesburg,employed,80435,organic_search,2023-10-18 22:20:00
9,Jose,Reed,jose.reed272@gmail.com,0785345555,30,Kitale,self_employed,62447,referral,2023-10-27 13:57:00
10,Karen,Richardson,karen.richardson94@yahoo.com,0724716857,52,Johannesburg,self_employed,65432,organic_search,2023-03-23 21:27:00
11,Jerry,Cook,jerry.cook258@yahoo.com,0711540956,54,Accra,employed,49973,social_media,2023-02-28 21:56:00
12,Joseph,Nguyen,joseph.nguyen162@gmail.com,0745351479,48,Abuja,employed,96959,direct,2023-04-02 16:58:00
13,Katherine,Cooper,katherine.cooper204@gmail.com,0731682744,59,Nakuru,employed,17552,referral,2023-09-29 00:38:00
14,Jonathan,Flores,jonathan.flores60@gmail.com,0786149359,36,Chicago,unemployed,12461,direct,2023-02-13 23:31:00
15,Thomas,Taylor,thomas.taylor487@yahoo.com,0732162965,63,Malindi,student,12374,organic_search,2023-11-07 13:13:00
16,Janet,Flores,janet.flores688@yahoo.com,0768800797,46,Nairobi,employed,59313,email_campaign,2023-08-20 03:15:00
17,Nicole,Peterson,nicole.peterson603@gmail.com,0719528530,35,Accra,student,14084,social_media,2023-01-31 07:04:00
18,Barbara,Richardson,barbara.richardson286@yahoo.com,0738754377,36,Cape Town,employed,76993,referral,2023-10-20 18:30:00
19,George,Gonzalez,george.gonzalez675@gmail.com,0766851760,27,Mombasa,retired,27899,paid_search,2023-01-28 21:41:00
